Unnamed: 0,Date,AveragePrice,TotalVolume,type,year,region,season
40,3/22/15,1.06,5571812.77,conventional,2015,Clam Chowder,Spring
41,3/15/15,1.06,5557163.11,conventional,2015,Clam Chowder,Spring
42,3/8/15,0.96,5990243.89,conventional,2015,Clam Chowder,Spring
43,3/1/15,0.84,6700134.25,conventional,2015,Clam Chowder,Spring
44,2/22/15,0.96,5951871.32,conventional,2015,Clam Chowder,Spring
45,2/15/15,0.96,5699944.93,conventional,2015,Clam Chowder,Spring
46,2/8/15,0.91,5871224.58,conventional,2015,Clam Chowder,Spring
47,2/1/15,0.85,9032180.67,conventional,2015,Clam Chowder,Spring
48,1/25/15,1.06,4929884.26,conventional,2015,Clam Chowder,Winter
49,1/18/15,1.02,5570915.26,conventional,2015,Clam Chowder,Winter
50,1/11/15,0.92,6024932.34,conventional,2015,Clam Chowder,Winter
51,1/4/15,0.93,5777334.9,conventional,2015,Clam Chowder,Winter
0,12/27/15,0.93,661137.13,conventional,2015,Steak and Wings,Winter
1,12/20/15,0.91,690669.34,conventional,2015,Steak and Wings,Winter
2,12/13/15,1.07,668601.5,conventional,2015,Steak and Wings,Winter
3,12/6/15,1.14,664020.49,conventional,2015,Steak and Wings,Winter
4,11/29/15,1.11,602481.22,conventional,2015,Steak and Wings,Winter
5,11/22/15,0.94,751897.89,conventional,2015,Steak and Wings,Winter
6,11/15/15,1.17,641881.96,conventional,2015,Steak and Wings,Winter
7,11/8/15,1.01,711146.61,conventional,2015,Steak and Wings,Winter
8,11/1/15,1.0,807041.46,conventional,2015,Steak and Wings,Winter
9,10/25/15,1.12,687650.27,conventional,2015,Steak and Wings,Autumn
10,10/18/15,1.15,690302.58,conventional,2015,Steak and Wings,Autumn
11,10/11/15,1.08,708914.17,conventional,2015,Steak and Wings,Autumn
12,10/4/15,1.18,675172.63,conventional,2015,Steak and Wings,Autumn
13,9/27/15,1.15,720501.55,conventional,2015,Steak and Wings,Autumn
14,9/20/15,1.19,729117.42,conventional,2015,Steak and Wings,Autumn
15,9/13/15,1.19,775671.49,conventional,2015,Steak and Wings,Autumn
16,9/6/15,1.11,808677.78,conventional,2015,Steak and Wings,Autumn
17,8/30/15,1.12,773773.53,conventional,2015,Steak and Wings,Autumn
18,8/23/15,1.2,751850.01,conventional,2015,Steak and Wings,Autumn
19,8/16/15,1.16,817690.89,conventional,2015,Steak and Wings,Autumn
20,8/9/15,1.25,731125.01,conventional,2015,Steak and Wings,Autumn
21,8/2/15,1.27,761027.42,conventional,2015,Steak and Wings,Autumn
22,7/26/15,1.12,791332.34,conventional,2015,Steak and Wings,Summer
23,7/19/15,1.24,797060.27,conventional,2015,Steak and Wings,Summer
24,7/12/15,1.26,772151.2,conventional,2015,Steak and Wings,Summer
25,7/5/15,1.24,937317.45,conventional,2015,Steak and Wings,Summer
26,6/28/15,1.21,786250.22,conventional,2015,Steak and Wings,Summer
27,6/21/15,1.24,804902.52,conventional,2015,Steak and Wings,Summer
28,6/14/15,1.21,868197.41,conventional,2015,Steak and Wings,Summer
29,6/7/15,1.24,824216.23,conventional,2015,Steak and Wings,Summer
30,5/31/15,1.26,803571.87,conventional,2015,Steak and Wings,Summer
31,5/24/15,1.23,887105.04,conventional,2015,Steak and Wings,Summer
32,5/17/15,1.23,817870.17,conventional,2015,Steak and Wings,Summer
33,5/10/15,1.23,835938.63,conventional,2015,Steak and Wings,Summer
34,5/3/15,1.04,978376.13,conventional,2015,Steak and Wings,Summer
35,4/26/15,1.24,779868.01,conventional,2015,Steak and Wings,Spring
36,4/19/15,1.24,832529.06,conventional,2015,Steak and Wings,Spring
37,4/12/15,1.24,710718.98,conventional,2015,Steak and Wings,Spring
38,4/5/15,1.27,751812.42,conventional,2015,Steak and Wings,Spring
39,3/29/15,1.22,757271.96,conventional,2015,Steak and Wings,Spring
40,3/22/15,1.21,799946.53,conventional,2015,Steak and Wings,Spring
41,3/15/15,1.09,827010.39,conventional,2015,Steak and Wings,Spring
42,3/8/15,1.18,772997.09,conventional,2015,Steak and Wings,Spring
43,3/1/15,1.09,863391.73,conventional,2015,Steak and Wings,Spring
44,2/22/15,1.18,773078.09,conventional,2015,Steak and Wings,Spring
45,2/15/15,1.17,726401.24,conventional,2015,Steak and Wings,Spring
46,2/8/15,1.13,729325.61,conventional,2015,Steak and Wings,Spring
47,2/1/15,0.91,1133491.66,conventional,2015,Steak and Wings,Spring
48,1/25/15,1.22,745439.17,conventional,2015,Steak and Wings,Winter
49,1/18/15,1.14,797741.43,conventional,2015,Steak and Wings,Winter
50,1/11/15,1.15,802874.94,conventional,2015,Steak and Wings,Winter
51,1/4/15,1.11,783068.03,conventional,2015,Steak and Wings,Winter
0,12/27/15,0.8,1020390.64,conventional,2015,Crab Legs,Winter
1,12/20/15,0.82,928051.16,conventional,2015,Crab Legs,Winter
2,12/13/15,0.79,980891.18,conventional,2015,Crab Legs,Winter
3,12/6/15,0.74,1054849.97,conventional,2015,Crab Legs,Winter
4,11/29/15,0.8,839818.87,conventional,2015,Crab Legs,Winter
5,11/22/15,0.78,885067.49,conventional,2015,Crab Legs,Winter
6,11/15/15,0.71,1040439.71,conventional,2015,Crab Legs,Winter
7,11/8/15,0.8,977717.36,conventional,2015,Crab Legs,Winter
8,11/1/15,0.78,1114177.66,conventional,2015,Crab Legs,Winter
9,10/25/15,0.86,1010394.81,conventional,2015,Crab Legs,Autumn
10,10/18/15,0.83,992983.76,conventional,2015,Crab Legs,Autumn
11,10/11/15,0.81,1100679.15,conventional,2015,Crab Legs,Autumn
12,10/4/15,0.82,1104602.14,conventional,2015,Crab Legs,Autumn
13,9/27/15,0.84,1063583.86,conventional,2015,Crab Legs,Autumn
14,9/20/15,0.77,1155212.67,conventional,2015,Crab Legs,Autumn
15,9/13/15,0.86,1212585.41,conventional,2015,Crab Legs,Autumn
16,9/6/15,0.84,1270739.69,conventional,2015,Crab Legs,Autumn
17,8/30/15,0.82,1101680.91,conventional,2015,Crab Legs,Autumn
18,8/23/15,0.85,1120172.03,conventional,2015,Crab Legs,Autumn
19,8/16/15,0.88,1122668.33,conventional,2015,Crab Legs,Autumn
20,8/9/15,0.85,1124259.51,conventional,2015,Crab Legs,Autumn
21,8/2/15,0.87,1067498.21,conventional,2015,Crab Legs,Autumn
22,7/26/15,0.8,1191310.92,conventional,2015,Crab Legs,Summer
23,7/19/15,0.82,1186878.88,conventional,2015,Crab Legs,Summer
24,7/12/15,0.82,1144448.23,conventional,2015,Crab Legs,Summer
25,7/5/15,0.83,1320696.13,conventional,2015,Crab Legs,Summer
26,6/28/15,0.77,1203553.98,conventional,2015,Crab Legs,Summer
27,6/21/15,0.75,1283503.44,conventional,2015,Crab Legs,Summer
28,6/14/15,0.65,1508750.45,conventional,2015,Crab Legs,Summer
29,6/7/15,0.73,1255575.78,conventional,2015,Crab Legs,Summer
30,5/31/15,0.68,1377670.81,conventional,2015,Crab Legs,Summer
31,5/24/15,0.81,1184131.34,conventional,2015,Crab Legs,Summer
32,5/17/15,0.73,1219398.43,conventional,2015,Crab Legs,Summer
33,5/10/15,0.75,1298826.19,conventional,2015,Crab Legs,Summer
34,5/3/15,0.77,1282852.08,conventional,2015,Crab Legs,Summer
35,4/26/15,0.81,1102639.51,conventional,2015,Crab Legs,Spring
36,4/19/15,0.8,1137811.87,conventional,2015,Crab Legs,Spring
37,4/12/15,0.72,1266899.55,conventional,2015,Crab Legs,Spring
38,4/5/15,0.77,1324348.89,conventional,2015,Crab Legs,Spring
39,3/29/15,0.79,1164808.22,conventional,2015,Crab Legs,Spring
40,3/22/15,0.67,1333424.37,conventional,2015,Crab Legs,Spring
41,3/15/15,0.72,1211158.55,conventional,2015,Crab Legs,Spring
42,3/8/15,0.75,1218684.28,conventional,2015,Crab Legs,Spring
43,3/1/15,0.82,1144032.03,conventional,2015,Crab Legs,Spring
44,2/22/15,0.8,1116600.76,conventional,2015,Crab Legs,Spring
45,2/15/15,0.77,1020856.87,conventional,2015,Crab Legs,Spring
46,2/8/15,0.67,1207167.54,conventional,2015,Crab Legs,Spring
47,2/1/15,0.68,1391089.32,conventional,2015,Crab Legs,Spring
48,1/25/15,0.8,1008295.47,conventional,2015,Crab Legs,Winter
49,1/18/15,0.76,1091677.29,conventional,2015,Crab Legs,Winter
50,1/11/15,0.76,1128693.04,conventional,2015,Crab Legs,Winter
51,1/4/15,0.74,1086363.97,conventional,2015,Crab Legs,Winter
0,12/27/15,0.98,625475.1,conventional,2015,Cream of Trout,Winter
1,12/20/15,1.05,528944.54,conventional,2015,Cream of Trout,Winter
2,12/13/15,0.83,741702.5,conventional,2015,Cream of Trout,Winter
3,12/6/15,0.76,838225.19,conventional,2015,Cream of Trout,Winter
4,11/29/15,1.12,429109.64,conventional,2015,Cream of Trout,Winter
5,11/22/15,0.85,724865.72,conventional,2015,Cream of Trout,Winter
6,11/15/15,0.82,925618.09,conventional,2015,Cream of Trout,Winter
7,11/8/15,0.93,690633.88,conventional,2015,Cream of Trout,Winter
8,11/1/15,0.82,831994.43,conventional,2015,Cream of Trout,Winter
9,10/25/15,0.93,735206.51,conventional,2015,Cream of Trout,Autumn
10,10/18/15,0.87,805437.95,conventional,2015,Cream of Trout,Autumn
11,10/11/15,0.9,775976.51,conventional,2015,Cream of Trout,Autumn
12,10/4/15,1.02,678935.84,conventional,2015,Cream of Trout,Autumn
13,9/27/15,0.97,694871.74,conventional,2015,Cream of Trout,Autumn
14,9/20/15,0.98,760083.16,conventional,2015,Cream of Trout,Autumn
15,9/13/15,1.01,735436.91,conventional,2015,Cream of Trout,Autumn
16,9/6/15,1.09,729046.74,conventional,2015,Cream of Trout,Autumn
17,8/30/15,1.14,721703.83,conventional,2015,Cream of Trout,Autumn
18,8/23/15,1.2,598195.03,conventional,2015,Cream of Trout,Autumn
19,8/16/15,1.17,648148.15,conventional,2015,Cream of Trout,Autumn
20,8/9/15,1.09,669377.04,conventional,2015,Cream of Trout,Autumn
21,8/2/15,1.05,727916.83,conventional,2015,Cream of Trout,Autumn
22,7/26/15,1.18,703672.69,conventional,2015,Cream of Trout,Summer
23,7/19/15,1.1,857872.86,conventional,2015,Cream of Trout,Summer
24,7/12/15,1.18,738933.68,conventional,2015,Cream of Trout,Summer
25,7/5/15,1.19,736913.15,conventional,2015,Cream of Trout,Summer
26,6/28/15,1.2,696697.65,conventional,2015,Cream of Trout,Summer
27,6/21/15,1.16,730826.79,conventional,2015,Cream of Trout,Summer
28,6/14/15,1.16,743005.75,conventional,2015,Cream of Trout,Summer
29,6/7/15,1.11,782886.63,conventional,2015,Cream of Trout,Summer
30,5/31/15,1.26,600377.94,conventional,2015,Cream of Trout,Summer
31,5/24/15,1.16,657593.22,conventional,2015,Cream of Trout,Summer
32,5/17/15,1.21,592588.01,conventional,2015,Cream of Trout,Summer
33,5/10/15,1.08,735145.02,conventional,2015,Cream of Trout,Summer
34,5/3/15,1.01,781496.4,conventional,2015,Cream of Trout,Summer
35,4/26/15,1.19,620827.49,conventional,2015,Cream of Trout,Spring
36,4/19/15,1.08,797021.22,conventional,2015,Cream of Trout,Spring
37,4/12/15,1.05,858680.51,conventional,2015,Cream of Trout,Spring
38,4/5/15,1.19,645727.95,conventional,2015,Cream of Trout,Spring
39,3/29/15,1.11,627546.3,conventional,2015,Cream of Trout,Spring
40,3/22/15,1.15,603112.11,conventional,2015,Cream of Trout,Spring
41,3/15/15,1.03,662131.8,conventional,2015,Cream of Trout,Spring
42,3/8/15,1.03,719792.51,conventional,2015,Cream of Trout,Spring
43,3/1/15,1.03,670820.5,conventional,2015,Cream of Trout,Spring
44,2/22/15,1.0,899302.8,conventional,2015,Cream of Trout,Spring
45,2/15/15,1.12,629074.28,conventional,2015,Cream of Trout,Spring
46,2/8/15,0.95,766576.39,conventional,2015,Cream of Trout,Spring
47,2/1/15,0.93,990211.57,conventional,2015,Cream of Trout,Spring
48,1/25/15,1.02,695658.81,conventional,2015,Cream of Trout,Winter
49,1/18/15,0.99,808194.41,conventional,2015,Cream of Trout,Winter
50,1/11/15,1.09,666579.35,conventional,2015,Cream of Trout,Winter
51,1/4/15,0.99,668086.0,conventional,2015,Cream of Trout,Winter
0,12/27/15,1.01,2580602.96,conventional,2015,"Shrimp Cocktail, Whole Chicken",Winter
1,12/20/15,1.01,2504745.45,conventional,2015,"Shrimp Cocktail, Whole Chicken",Winter
2,12/13/15,1.03,2608448.06,conventional,2015,"Shrimp Cocktail, Whole Chicken",Winter
3,12/6/15,1.0,2981347.2,conventional,2015,"Shrimp Cocktail, Whole Chicken",Winter
4,11/29/15,1.07,2198408.92,conventional,2015,"Shrimp Cocktail, Whole Chicken",Winter
5,11/22/15,1.03,2601821.63,conventional,2015,"Shrimp Cocktail, Whole Chicken",Winter
6,11/15/15,1.09,2494044.41,conventional,2015,"Shrimp Cocktail, Whole Chicken",Winter
7,11/8/15,0.98,3184946.53,conventional,2015,"Shrimp Cocktail, Whole Chicken",Winter
8,11/1/15,1.0,3229124.75,conventional,2015,"Shrimp Cocktail, Whole Chicken",Winter
9,10/25/15,1.1,2671535.94,conventional,2015,"Shrimp Cocktail, Whole Chicken",Autumn
10,10/18/15,1.03,2981549.94,conventional,2015,"Shrimp Cocktail, Whole Chicken",Autumn
11,10/11/15,1.02,3004133.39,conventional,2015,"Shrimp Cocktail, Whole Chicken",Autumn
12,10/4/15,1.05,2814678.93,conventional,2015,"Shrimp Cocktail, Whole Chicken",Autumn
13,9/27/15,1.1,2770074.76,conventional,2015,"Shrimp Cocktail, Whole Chicken",Autumn
14,9/20/15,1.02,3336245.24,conventional,2015,"Shrimp Cocktail, Whole Chicken",Autumn
15,9/13/15,1.03,3532480.92,conventional,2015,"Shrimp Cocktail, Whole Chicken",Autumn
16,9/6/15,1.07,3272555.01,conventional,2015,"Shrimp Cocktail, Whole Chicken",Autumn
17,8/30/15,1.04,3388803.79,conventional,2015,"Shrimp Cocktail, Whole Chicken",Autumn
18,8/23/15,1.14,2849127.29,conventional,2015,"Shrimp Cocktail, Whole Chicken",Autumn
19,8/16/15,1.03,3653376.07,conventional,2015,"Shrimp Cocktail, Whole Chicken",Autumn
20,8/9/15,1.12,3230139.65,conventional,2015,"Shrimp Cocktail, Whole Chicken",Autumn
21,8/2/15,1.14,3162447.64,conventional,2015,"Shrimp Cocktail, Whole Chicken",Autumn
22,7/26/15,1.1,3135698.38,conventional,2015,"Shrimp Cocktail, Whole Chicken",Summer
23,7/19/15,1.12,3436864.41,conventional,2015,"Shrimp Cocktail, Whole Chicken",Summer
24,7/12/15,1.14,3077237.12,conventional,2015,"Shrimp Cocktail, Whole Chicken",Summer
25,7/5/15,1.13,3774004.27,conventional,2015,"Shrimp Cocktail, Whole Chicken",Summer
26,6/28/15,1.07,3336314.35,conventional,2015,"Shrimp Cocktail, Whole Chicken",Summer
27,6/21/15,1.08,3720458.83,conventional,2015,"Shrimp Cocktail, Whole Chicken",Summer
28,6/14/15,1.12,3511185.14,conventional,2015,"Shrimp Cocktail, Whole Chicken",Summer
29,6/7/15,1.13,3602112.79,conventional,2015,"Shrimp Cocktail, Whole Chicken",Summer
30,5/31/15,1.2,3151714.0,conventional,2015,"Shrimp Cocktail, Whole Chicken",Summer
31,5/24/15,1.15,3574050.61,conventional,2015,"Shrimp Cocktail, Whole Chicken",Summer
32,5/17/15,1.09,3753201.03,conventional,2015,"Shrimp Cocktail, Whole Chicken",Summer
33,5/10/15,1.15,3501344.46,conventional,2015,"Shrimp Cocktail, Whole Chicken",Summer
34,5/3/15,1.05,3901054.42,conventional,2015,"Shrimp Cocktail, Whole Chicken",Summer
35,4/26/15,1.14,3234024.32,conventional,2015,"Shrimp Cocktail, Whole Chicken",Spring
36,4/19/15,1.06,3857605.11,conventional,2015,"Shrimp Cocktail, Whole Chicken",Spring
37,4/12/15,1.11,2895992.9,conventional,2015,"Shrimp Cocktail, Whole Chicken",Spring
38,4/5/15,1.18,2938918.81,conventional,2015,"Shrimp Cocktail, Whole Chicken",Spring
39,3/29/15,1.09,2971443.88,conventional,2015,"Shrimp Cocktail, Whole Chicken",Spring
40,3/22/15,1.04,3746598.18,conventional,2015,"Shrimp Cocktail, Whole Chicken",Spring
41,3/15/15,1.1,2948199.23,conventional,2015,"Shrimp Cocktail, Whole Chicken",Spring
42,3/8/15,1.04,3134752.64,conventional,2015,"Shrimp Cocktail, Whole Chicken",Spring
43,3/1/15,1.02,3566752.43,conventional,2015,"Shrimp Cocktail, Whole Chicken",Spring
44,2/22/15,1.16,2730224.03,conventional,2015,"Shrimp Cocktail, Whole Chicken",Spring
45,2/15/15,1.15,2610004.41,conventional,2015,"Shrimp Cocktail, Whole Chicken",Spring
46,2/8/15,1.07,2856456.35,conventional,2015,"Shrimp Cocktail, Whole Chicken",Spring
47,2/1/15,0.91,4874124.41,conventional,2015,"Shrimp Cocktail, Whole Chicken",Spring
48,1/25/15,1.13,2928692.32,conventional,2015,"Shrimp Cocktail, Whole Chicken",Winter
49,1/18/15,1.08,3006207.02,conventional,2015,"Shrimp Cocktail, Whole Chicken",Winter
50,1/11/15,1.1,3067638.32,conventional,2015,"Shrimp Cocktail, Whole Chicken",Winter
51,1/4/15,1.02,3382800.12,conventional,2015,"Shrimp Cocktail, Whole Chicken",Winter
0,12/27/15,0.78,944506.54,conventional,2015,Chicken Broth,Winter
1,12/20/15,0.75,922355.67,conventional,2015,Chicken Broth,Winter
2,12/13/15,0.73,998752.95,conventional,2015,Chicken Broth,Winter
3,12/6/15,0.74,989676.85,conventional,2015,Chicken Broth,Winter
4,11/29/15,0.79,783225.98,conventional,2015,Chicken Broth,Winter
5,11/22/15,0.73,913002.96,conventional,2015,Chicken Broth,Winter
6,11/15/15,0.72,998801.78,conventional,2015,Chicken Broth,Winter
7,11/8/15,0.75,983909.85,conventional,2015,Chicken Broth,Winter
8,11/1/15,0.77,1007805.74,conventional,2015,Chicken Broth,Winter
9,10/25/15,0.88,933623.58,conventional,2015,Chicken Broth,Autumn
10,10/18/15,0.9,847813.12,conventional,2015,Chicken Broth,Autumn
11,10/11/15,0.79,1036269.51,conventional,2015,Chicken Broth,Autumn
12,10/4/15,0.82,1019283.99,conventional,2015,Chicken Broth,Autumn
13,9/27/15,0.86,968988.09,conventional,2015,Chicken Broth,Autumn
14,9/20/15,0.83,967228.05,conventional,2015,Chicken Broth,Autumn
15,9/13/15,0.89,1095790.27,conventional,2015,Chicken Broth,Autumn
16,9/6/15,0.89,1090493.39,conventional,2015,Chicken Broth,Autumn
17,8/30/15,0.88,926124.93,conventional,2015,Chicken Broth,Autumn
18,8/23/15,0.89,933166.17,conventional,2015,Chicken Broth,Autumn
19,8/16/15,0.92,968899.09,conventional,2015,Chicken Broth,Autumn
20,8/9/15,0.92,935149.69,conventional,2015,Chicken Broth,Autumn
21,8/2/15,0.9,948126.9,conventional,2015,Chicken Broth,Autumn
22,7/26/15,0.79,1086740.19,conventional,2015,Chicken Broth,Summer
23,7/19/15,0.78,1093424.59,conventional,2015,Chicken Broth,Summer
24,7/12/15,0.79,999607.51,conventional,2015,Chicken Broth,Summer
25,7/5/15,0.79,1173819.67,conventional,2015,Chicken Broth,Summer
26,6/28/15,0.74,1135915.03,conventional,2015,Chicken Broth,Summer
27,6/21/15,0.74,1196121.27,conventional,2015,Chicken Broth,Summer
28,6/14/15,0.62,1533409.28,conventional,2015,Chicken Broth,Summer
29,6/7/15,0.72,1172177.72,conventional,2015,Chicken Broth,Summer
30,5/31/15,0.72,1262932.78,conventional,2015,Chicken Broth,Summer
31,5/24/15,0.83,1089679.39,conventional,2015,Chicken Broth,Summer
32,5/17/15,0.82,1025659.59,conventional,2015,Chicken Broth,Summer
33,5/10/15,0.76,1201673.17,conventional,2015,Chicken Broth,Summer
34,5/3/15,0.74,1296308.05,conventional,2015,Chicken Broth,Summer
35,4/26/15,0.79,1082231.89,conventional,2015,Chicken Broth,Spring
36,4/19/15,0.82,933033.17,conventional,2015,Chicken Broth,Spring
37,4/12/15,0.79,1096074.97,conventional,2015,Chicken Broth,Spring
38,4/5/15,0.83,1249645.2,conventional,2015,Chicken Broth,Spring
39,3/29/15,0.79,1116225.29,conventional,2015,Chicken Broth,Spring
40,3/22/15,0.8,1036663.77,conventional,2015,Chicken Broth,Spring
41,3/15/15,0.77,1043172.77,conventional,2015,Chicken Broth,Spring
42,3/8/15,0.78,1166055.83,conventional,2015,Chicken Broth,Spring
43,3/1/15,0.87,991328.46,conventional,2015,Chicken Broth,Spring
44,2/22/15,0.82,978807.74,conventional,2015,Chicken Broth,Spring
45,2/15/15,0.73,1062387.72,conventional,2015,Chicken Broth,Spring
46,2/8/15,0.7,1180723.02,conventional,2015,Chicken Broth,Spring
47,2/1/15,0.72,1280364.01,conventional,2015,Chicken Broth,Spring
